Description,Offense,Punishment,Cognizable,Bailable,Court
"Description of IPC Section 174A
According to section 174A of Indian penal code, Whoever fails to appear at the specified place and the specified time as required by a proclamation published under sub? section (1) of section 82 of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to three years or with fine or with both, and where a declaration has been made under sub? section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.


IPC 174A in Simple Words
If someone doesn't appear at the specified place and time as required by a proclamation published under section 82 of the Code of Criminal Procedure, they can be punished with up to three years of imprisonment, a fine, or both; if declared a proclaimed offender, the punishment can be up to seven years of imprisonment and a fine.",Fundamental zero administration customer loyalty,Customer-focused 4th generation project,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 175
According to section 175 of Indian penal code, Whoever, being legally bound to produce or deliver up any document to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the document is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 175 in Simple Words
If someone is legally required to show or hand over a document to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the document should be given to a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Enterprise-wide uniform paradigm,Multi-lateral homogeneous system engine,Cognizable,Bailable,As for False Evidence
"Description of IPC Section 176
According to section 176 of Indian penal code, Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;
or, if the notice or information required to be given is required by an order passed under sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 176 in Simple Words
If someone is legally obligated to provide notice or information to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the notice or information pertains to a crime or preventing a crime, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both; and if the notice or information is required by a specific order, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Visionary demand-driven challenge,Secured leading edge projection,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 148
According to section 148 of Indian penal code, Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 148 in Simple Words
If someone takes part in a riot while being armed with a deadly weapon or anything likely to cause death, they can be punished with up to three years in jail, a fine, or both.",Front-line asymmetric support,Enterprise-wide coherent support,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 177
According to section 177 of Indian penal code, Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;
or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 177 in Simple Words
If someone is legally required to provide information to a public servant but knowingly gives false information, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both; and if the information relates to a crime or preventing a crime, the punishment can be up to two years in jail, a fine, or both.",Versatile mobile secured line,Reverse-engineered high-level groupware,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 178
According to section 178 of Indian penal code, Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 178 in Simple Words
If someone refuses to take an oath or affirm to tell the truth when legally asked to do so by a public servant, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both.",Managed dynamic structure,Operative 3rd generation toolset,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 179
According to section 179 of Indian penal code, Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 179 in Simple Words
If someone who is required by law to tell the truth to a public servant refuses to answer their questions, they can be punished with up to six months in jail, a fine of up to one thousand rupees, or both.",Business-focused multimedia analyzer,Balanced disintermediate Graphical User Interface,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 180
According to section 180 of Indian penal code, Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 180 in Simple Words
In simple words, Section 180 of the Indian Penal Code states that if someone refuses to sign a statement when legally required to do so by a public servant, they may be punished with imprisonment for up to three months, or fined, or both.",Grass-roots composite project,Inverse 24/7 capability,Non-Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 181
According to section 181 of Indian penal code, Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 181 in Simple Words
In simple words, Section 181 of the Indian Penal Code states that if someone under oath or affirmation knowingly gives a false statement to a public servant or authorized person, they may be punished with imprisonment for up to three years and may also have to pay a fine.",Enterprise-wide transitional approach,Cross-platform uniform local area network,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 182
According to section 182 of Indian penal code, Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause such public servant:
to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him, or
to use the lawful power of such public servant to the injury or annoyance of any person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 182 in Simple Words
In simple words, Section 182 of the Indian Penal Code states that if someone knowingly gives false information to a public servant with the intention of causing them to do something they shouldn't or use their power to harm someone, they may be punished with imprisonment, fine, or both, for a maximum of six months.",Pre-emptive 6th generation time-frame,Ameliorated zero administration middleware,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 183
According to section 183 of Indian penal code, Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 183 in Simple Words
In simple words, Section 183 of the Indian Penal Code states that if someone resists the lawful taking of any property by a public servant, knowing or believing that the person is a public servant, they may be punished with imprisonment, fine, or both, for a maximum of six months.",Future-proofed solution-oriented software,Up-sized scalable hardware,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 184
According to section 184 of Indian penal code, Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.


IPC 184 in Simple Words
In simple words, Section 184 of the Indian Penal Code states that if someone intentionally obstructs the sale of property that is being offered for sale by a public servant, they may be punished with imprisonment, fine, or both, for a maximum of one month.",Enterprise-wide reciprocal project,Inverse next generation collaboration,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 185
According to section 185 of Indian penal code, Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.


IPC 185 in Simple Words
In simple words, Section 185 of the Indian Penal Code states that if someone purchases or bids for property at a public sale on behalf of a person who is legally not allowed to do so or bids without intending to fulfill the obligations, they may be punished with imprisonment, fine, or both, for a maximum of one month.",Team-oriented optimizing moratorium,Stand-alone systematic benchmark,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 186
According to section 186 of Indian penal code, Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 186 in Simple Words
In simple words, Section 186 of the Indian Penal Code states that if someone intentionally obstructs a public servant from performing their duties, they may be punished with imprisonment, fine, or both, for a maximum of three months.",Front-line full-range alliance,Face to face hybrid paradigm,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 149
According to section 149 of Indian penal code, If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence.


IPC 149 in Simple Words
If any member of an unlawful assembly commits an offense as part of their common goal, all other members of that assembly at the time of the offense are also considered guilty of that offense.",Re-contextualized bandwidth-monitored task-force,Future-proofed actuating solution,Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 187
According to section 187 of Indian penal code, Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.


IPC 187 in Simple Words
In simple words, Section 187 of the Indian Penal Code states that if someone fails to assist a public servant when legally required to do so, they may be punished with imprisonment or fine. If the assistance is demanded for specific purposes like preventing a crime or apprehending an offender, the punishment may be more severe.",Multi-tiered systemic database,Front-line national architecture,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 188
According to section 188 of Indian penal code, Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees, or with both;
and if such disobedience causes or tends to cause danger to human life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 188 in Simple Words
In simple words, Section 188 of the Indian Penal Code states that if someone disobeys a lawful order given by a public servant, and it causes annoyance, risk of harm, or danger to others, they can be punished with imprisonment or fine.",Diverse value-added migration,Configurable maximized leverage,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 189
According to section 189 of Indian penal code, Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 189 in Simple Words
In simple words, Section 189 of the Indian Penal Code states that anyone who threatens to harm a public servant or someone connected to that public servant to influence their official duties will be punished with imprisonment or fine.",Organic even-keeled architecture,Persistent 3rd generation Graphical User Interface,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 190
According to section 190 of Indian penal code, Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 190 in Simple Words
In simple words, Section 190 of the Indian Penal Code states that anyone who threatens to harm someone to prevent them from seeking legal protection against a public servant will be punished with imprisonment or fine.",Inverse dedicated emulation,Implemented bi-directional leverage,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 150
According to section 150 of Indian penal code, Whoever hires or engages, or employes, or promotes, or connives at the hiring, engagement or employment of any person to join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he had been a member of such unlawful assembly, or himself had committed such offence.


IPC 150 in Simple Words
If someone hires, engages, or promotes others to join an unlawful assembly and commits an offense in connection with it, they will be punished as if they were a member of that unlawful assembly and had committed the offense themselves.",Versatile next generation info-mediaries,Enterprise-wide exuding groupware,Non-Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 151
According to section 151 of Indian penal code, Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 151 in Simple Words
If someone knowingly stays in a group of five or more people that is likely to disturb public peace after being ordered to disperse, they can be punished with up to six months in jail, a fine, or both.

Cited by
Rajesh Burmann vs Mitul Chatterjee
Asifkhan vs The State Of Maharashtra
State Of Nct Of Delhi vs Sanjay
Surain Singh vs State Of Punjab
Komma Neelakantha Reddy vs State Of Andhra Pradesh",Seamless 6th generation hardware,Cloned high-level application,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 152
According to section 152 of Indian penal code, Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavoring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 152 in Simple Words
If someone attacks, threatens, or obstructs a public servant while they are trying to disperse an unlawful assembly or suppress a riot, they can be punished with up to three years in jail, a fine, or both.",Decentralized transitional database,Assimilated uniform groupware,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 224
According to section 224 of Indian penal code, Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 224 in Simple Words
In simple words, Section 224 of the Indian Penal Code states that if someone intentionally resists their lawful arrest for an offense they are charged with or have been convicted of, or tries to escape from lawful custody, they can be punished with imprisonment up to two years, or fined, or both.",Multi-layered next generation open architecture,Digitized system-worthy hierarchy,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 225
According to section 225 of Indian penal code, Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;
or, if the person to be apprehended, or the person rescued or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is liable under the sentence of a Court of Justice, or by virtue of a commutation of such a sentence, to imprisonment for life, or imprisonment, for a term of ten years or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
or, if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with 1imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 225 in Simple Words
In simple words, Section 225 of the Indian Penal Code states that anyone who intentionally resists the lawful arrest of another person or tries to rescue someone lawfully detained for an offense can face imprisonment up to two years, and if the offense involved carries more severe punishment, the imprisonment can be up to three to seven years, along with a fine.",Progressive maximized policy,De-engineered zero administration artificial intelligence,Non-Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 225A
According to section 225A of Indian penal code, Whoever, being a public servant legally bound as such public servant to apprehend, or to keep in confinement, any person in any case not provided for in section 221, section 222 or section 223, or in any other law for the time being in force, omits to apprehend that person or suffers him to escape from confinement, shall be punished:
if he does so intentionally, with imprisonment of either description for a term which may extend to three years, or with fine or with both; and
if he does so negligently, with simple imprisonment for a term which may extend to two years, or with fine, or with both.


IPC 225A in Simple Words
Section 225A of the Indian Penal Code states that if a public servant fails to apprehend or keep someone in confinement when legally bound to do so, they can be punished with imprisonment up to three years (if intentional) or up to two years (if negligent), or with a fine, or both.",Networked homogeneous service-desk,Organic national secured line,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 225B
According to section 225B of Indian penal code, Whoever, in any case not provided for in section 224 or section 225 or in any other law for the time being in force, intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself or of any other person, or escapes or attempts to escape from any custody in which he is lawfully detained, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 225B in Simple Words
Section 225B of the Indian Penal Code states that anyone who intentionally resists or obstructs their own or someone else's lawful arrest, escapes from lawful custody, or tries to rescue someone from lawful custody can be punished with imprisonment up to six months, a fine, or both.",Polarised bi-directional superstructure,Automated asymmetric approach,Cognizable (on complaint of victim),Bailable,Court of Session
"Description of IPC Section 193
According to section 193 of Indian penal code, Whoever intentionally gives false evidence in any of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 193 in Simple Words
In simple words, Section 193 of the Indian Penal Code states that giving false evidence or fabricating false evidence in a judicial proceeding can lead to imprisonment of up to seven years and a fine, while doing so in any other case can result in imprisonment of up to three years and a fine.",Progressive transitional info-mediaries,Synchronised tertiary superstructure,Non-Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 194
According to section 194 of Indian penal code, Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by the laws for the time being in force in India shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;
If innocent person be thereby convicted and executed â€” and if an innocent person be convicted and executed in consequence of such false evidence, the person who gives such false evidence shall be punished either with death or the punishment hereinbefore described.


IPC 194 in Simple Words
In simple words, Section 194 of the Indian Penal Code states that providing false evidence with the intent to get someone convicted of a capital offence can result in imprisonment for life or up to ten years, and if an innocent person is wrongly convicted and executed due to such false evidence, the offender may face either the death penalty or the aforementioned punishment.",Implemented intermediate support,Automated static instruction set,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 195
According to section 195 of Indian penal code, Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by the law for the time being in force in India is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished.


IPC 195 in Simple Words
In simple words, Section 195 of the Indian Penal Code states that if someone provides false evidence to get another person convicted of a non-capital offence punishable with life imprisonment or a term of seven years or more, they will be punished as if they had committed that offence themselves.",Visionary real-time projection,Seamless disintermediate orchestration,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 195A
According to section 195A of Indian penal code,
Whoever threatens another with any injury to his person, reputation or property or to the person or reputation of anyone in whom that person is interested, with intent to cause that person to give false evidence shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both; and if an innocent person is convicted and sentenced in consequence of such false evidence, with death or imprisonment for more than seven years, the person who threatens shall be punished with the same punishment and sentenced in the same manner and to the same extent as such innocent person is punished and sentenced.


IPC 195A in Simple Words
If someone threatens another person to give false evidence, they can be punished with up to seven years of imprisonment, a fine, or both; if an innocent person is wrongly convicted due to the false evidence and receives a severe punishment, the one who threatened will receive the same punishment.",Digitized multimedia definition,Multi-channelled 5th generation methodology,Non-Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 196
According to section 196 of Indian penal code, Whoever corruptly uses or attempts to use as true or genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence.


IPC 196 in Simple Words
In simple words, Section 196 of the Indian Penal Code states that if someone knowingly uses false or fabricated evidence as genuine, they will be punished as if they had given false evidence.",Robust eco-centric archive,Configurable global portal,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 197
According to section 197 of Indian penal code, Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence.


IPC 197 in Simple Words
In simple words, Section 197 of the Indian Penal Code states that if someone issues or signs a false certificate related to a fact that is legally admissible as evidence, they will be punished as if they had given false evidence.",Vision-oriented contextually-based algorithm,Up-sized directional artificial intelligence,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 198
According to section 198 of Indian penal code, Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.


IPC 198 in Simple Words
In simple words, Section 198 of the Indian Penal Code states that if someone corruptly uses a false certificate, knowing it to be false, they will be punished as if they had given false evidence.",Managed multimedia local area network,Open-architected intangible software,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 199
According to section 199 of Indian penal code, Whoever, in any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant or other person, is bound or authorized by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence.


IPC 199 in Simple Words
In simple words, Section 199 of the Indian Penal Code states that if someone makes a false statement in a declaration used as evidence in court or by a public servant, they will be punished as if they had given false evidence.",Programmable human-resource focus group,Synergistic object-oriented portal,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 200
According to section 200 of Indian penal code, Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.


IPC 200 in Simple Words
In simple words, Section 200 of the Indian Penal Code states that if someone knowingly uses a false declaration as true, with corrupt intentions, they will be punished as if they had given false evidence.",Future-proofed intangible productivity,Switchable uniform budgetary management,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 201
According to section 201 of Indian penal code, Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false;
if a capital offence — shall, if the offence which he knows or believes to have been committed is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life — and if the offence is punishable with imprisonment for life, or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;
if punishable with less than ten years imprisonment — and if the offence is punishable with imprisonment for any term not extending to ten years, shall be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth part of the longest term of the imprisonment provided for the offence, or with fine, or with both.


IPC 201 in Simple Words
In simple words, Section 201 of the Indian Penal Code states that if someone hides or destroys evidence of a crime, knowing or believing that the offense has been committed, with the intention of protecting the offender from punishment, they can be punished with imprisonment up to seven years, and fined, depending on the seriousness of the offense. If the offense is punishable with imprisonment for life or up to ten years, the punishment may be imprisonment up to three years, along with a fine. For offenses punishable with less than ten years of imprisonment, the punishment may be imprisonment for a shorter term or a fine or both.

Cited by
Vijay Pal Singh and Ors vs State Of Uttarkhand
Budhan Singh and Ors vs State Of Bihar
Ram Badan Sharma vs State Of Bihar
V L Tresa vs State Of Kerala
Sukhram vs State Of Maharashtra",Re-engineered bifurcated emulation,Innovative bottom-line hub,Cognizable,Non-bailable,Court of Session
"Description of IPC Section 202
According to section 202 of Indian penal code, Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 202 in Simple Words
In simple words, Section 202 of the Indian Penal Code states that if someone fails to provide information about an offense they know or believe has been committed, which they are legally obligated to provide, they can be punished with imprisonment up to six months, or fined, or both.",Inverse transitional initiative,Expanded discrete software,Cognizable,Non-bailable,Court of Session
"Description of IPC Section 203
According to section 203 of Indian penal code, Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 203 in Simple Words
In simple words, Section 203 of the Indian Penal Code states that if someone knowingly provides false information about an offense they believe has been committed, they can be punished with imprisonment up to two years, or fined, or both.",Inverse mobile Graphic Interface,Seamless needs-based Graphical User Interface,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 204
According to section 204 of Indian penal code, Whoever secrets or destroys any document which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document with the intention of preventing the same from being produced or used as evidence before such Court or public servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for that purpose, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 204 in Simple Words
In simple words, Section 204 of the Indian Penal Code states that if someone hides, destroys, or alters a document that they are legally required to present as evidence in court or before a public servant to prevent its use, they can be punished with imprisonment up to two years, or fined, or both.",Cloned tertiary alliance,Managed multi-tasking synergy,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 205
According to section 205 of Indian penal code, Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 205 in Simple Words
In simple words, Section 205 of the Indian Penal Code states that if someone falsely pretends to be another person and makes statements or takes actions in legal matters, they can be punished with imprisonment up to three years, or fined, or both.",Ameliorated context-sensitive toolset,Public-key directional array,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 206
According to section 206 of Indian penal code, Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 206 in Simple Words
In simple words, Section 206 of the Indian Penal Code states that if someone fraudulently removes, conceals, transfers, or delivers property to prevent it from being taken as forfeiture or in satisfaction of a fine or court order, they can be punished with imprisonment up to two years, or fined, or both.",Reverse-engineered demand-driven project,Secured demand-driven access,,Non-Bailable,
"Description of IPC Section 207
According to section 207 of Indian penal code, Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 207 in Simple Words
In simple words, Section 207 of the Indian Penal Code states that if someone fraudulently accepts, receives, or claims property that they have no right to, with the intention of preventing it from being taken as forfeiture or in satisfaction of a fine or court order, they can be punished with imprisonment up to two years, or fined, or both.

Cited by
Saeed Ahmed vs State Of Uttar Pradesh
Parveen vs State Of Haryana
Salim Akhtar at Mota vs State Of Uttar Pradesh
Santokh Singh vs Izhar Hussain And Anr
Sunita Devi vs State Of Bihar And Ors",Front-line web-enabled Graphical User Interface,Down-sized discrete functionalities,Cognizable,Non-Bailable,Court of Session
